Role of Job,Company Name,Company Location,Type of Work,Description,extracted_skills
Electrical Engineer for Planning and Design and Protection,Aboitiz Renewables,"Davao del Sur, Davao",,"the electrical engineer - planning & design, and protection is responsible for conceptualizing and designing of protection, automation and control systems as well as monitoring of its implementation. this system should comply and conform to the company's protection philosophy and in accordance with the company’s goals and objectives to develop and operate efficient electrical power systems. the incumbent is also responsible for simulating and foreseeing protection methods to protect the company’s electrical system assets during abnormal and fault conditions on the system; and for providing technical assistance

conducts power system fault analysis using simulation software tools to anticipate abnormal/fault system conditions, potential problems and determine possible solutions to protect the system. conceptualizes & designs protection systems for new and expansion projects. this includes, protection one-line and schematic diagrams and trip/alarm matrix and inputs/outputs assignments.

prepares protection settings (engineering & logic) that adequately protect the system components during abnormal and fault conditions. make coordination studies if necessary. performs relay setting laboratory simulation.

recalculates settings based on results of simulation testing. evaluates pre-wired protection and control diagrams for outsourced projects. coordinates approved design on protection and control scheme with project engineers assigned to each project.

monitors projects by conducting site inspection, testing and audits to ensure compliance to design and specifications. reviews updates from the implementing team. provides technical specifications to purchasing, e.g. proper specifications of relays, cts, breakers, pts, etc. to enable them to procure the exact equipment and materials needed by the group.

conducts protection system audit & review for existing plants. maintains and reviews relay settings and coordination, internally and external customer

maintains relay setting database and protection diagrams.develops and updates protection philosophy, code and guidelines.prepares protection development plan.conceptualizes and designs automation and tele-protection systems.prepares tele-protection and control schematic diagrams.prepares tele-protection system requirements.prepares device automation programming and logic settings

maintains database of device automation and control design and diagrams.recommend network device automation projects.provides resolution to protection and supervisory control and data acquisition/control systems problems and troubleshooting

complies with company policies and procedures, safety rules and practices. conforms to the company’s integrated management systems, policies, standards, procedures and guidelines. reports any integrated management system events/incidents or potential events or other risks to the organization.

protects information assets from unauthorized access, disclosure, modification, destruction or interference by:ensuring the confidentiality of all data, information and other matters which are private, sensitive or confidential in nature or the exposure of which to other employees, persons, entities or organizations constitutes conflict of interest with and/or poses liability or damage to the company. performs any other related duties and responsibilities that may be assigned from time to time by immediate superior consistent with the purpose of this role. minimum qualificationsbachelor’s degree in electrical engineeringmust be a licensed electrical engineerpreferably with experience in analysis & protection of power systems, automation, control and protective relay testing.

preferably with experience in handling works related to power system protection, automation and control

with preference if:must have at least 3 years’ experience in handling works related to power system protection, automation and control

must have experience in designing protection systems of substation, switchyard and transmission line.must have know-how in protective relay testing.must be knowledgeable in protection system technical specification.must be knowledgeable on basic protection and coordination

must be knowledgeable on teleprotection, automation and control.can supervise field electrical engineers at site and monitor site activities1 vacant position in astorga, sta. cruz, davao del sur


#j-18808-ljbffr","['sis', 'supervisory control and data acquisition']"
Lead Control Systems Engineer,Thermo Systems LLC.,"Parañaque, Metro Manila",,"career opportunities with thermo systems llc

careers at thermo systems llc

current job opportunities are posted here as they become available.

subscribe to our rss feeds to receive instant updates as new positions become available.

thermo systems is a global, full-service control systems integration partner, delivering world-class automation solutions in the district energy, life sciences, and mission critical markets. our diverse leadership and dedicated engineering team are committed to excellence and consistent growth. our unique company culture, known as ""the thermo way,"" strengthens our team by fostering an environment where all members perform their best.

our commitment to being unified, dynamic, and delivering excellence is evident in how we build trusting relationships through connection and camaraderie, ability to adapt, and focus on integrity and success. these values guide our daily operations and interactions, setting the standard for our team's behavior. as we continue to grow and evolve, ""the thermo way"" supports our goals of becoming a world-class organization, ensuring employee success, customer success, and financial strength.

job summary:

works on control system projects; leads in hardware and software design, development, integration, testing, and installation support. listens, takes direction, and seeks guidance from the assigned project leads, the supervisors, and company leadership.

education and experience:

bachelor of science; electrical engineering, mechanical engineering, computer science, or other pertinent curriculum combined with relevant technical experience.
typically 2+ years total experience.
proven track record: 1-3 years as control system engineer or equivalent.

duties and responsibilities:

technical responsibilities:

displays electrical and mechanical system troubleshooting skills.
demonstrate self-sufficiency in the field.
demonstrate the ability to lead other project members during installation, start-up, and commissioning.
lead and perform factory acceptance tests (fat).
read and interpret piping & instrumentation diagrams and wiring diagrams.
exhibit full understanding of human-machine interface (hmi) and programmable logic controller (plc) applications.
well versed in the company’s quality management system (qms).
provide review of standard documents generated by others for technical, grammatical, and aesthetic content.
demonstrate the ability to perform intermediate control system design with guidance from others.
provide instrumentation specifications for basic control systems.
demonstrate an understanding of information technology (it) system, network infrastructure, and computer system design, as it relates to control system integration.

customer service:

communicate in an effective, positive, and proactive manner with customers.
follow customer specific site standards and procedures.
always conduct business in professional manner.
provide excellent customer care and support.
be patient, attentive, and responsive to customers in solving their problems.
always follow up and honor commitments with customers.
develops an understanding of the customer needs and actively seeks to service those needs.
complete assigned tasks accurately, on schedule, and under budget.

project responsibilities:

understand the scope of work assigned to you, identify when issues arise that are beyond that scope, and communicate those issues to the assigned project lead.
lead individual project related tasks and/or small to mid-sized projects in their entirety.
provides accurate feedback on status of assigned tasks.
demonstrates an awareness of project contracts and specifications.

required skills and abilities:

in addition to control system engineer skills and abilities:
effectively communicates with co-workers.
strategically thinks and leverages knowledge to solve problems.
able to be independently effective and takes personal responsibility.
manage time efficiently.
promotes a positive/collaborative team culture.
overnight travel may be required up to 50%

on call:

on call rotation participation may be required based on location and client needs.

work authorization/other requirements:

proof of eligibility to work in the country where the position is located is required.
maintain a valid drivers license.
fit for duty at all times

culture:

model thermo systems core values of employee success, customer success and financial strength by:

seeking new and additional business through project change orders, additional services to existing customers, and referrals for new customers/projects. drive financial success.
be a good teammate, support your colleagues, promote a positive atmosphere for those around you. drive employee success.
go the extra mile for your customer, take ownership of their needs, over communicate. drive customer success.
foster an environment of integrity, trust, collaboration, professionalism, serving one another, leading by example, and assuming good intent each and every day.

what you'll get:

competitive salary, annual bonuses, 401(k) with company match, and business travel reimbursement: we appreciate our employees, and we make sure they know it.
benefits: we offer full-time employees multiple healthcare packages, including low-cost options.
casual dress: every day is ""casual friday""; we want you to be comfortable when you come to work.
training: we offer in-house and factory technical training to keep our staff sharp.
tuition reimbursement: we encourage academic advancement and professional credentialing.
vacation/sick time: we believe work-life balance is essential. ensuring our employees have time to truly relax and recharge is important to us.
culture & extras: we provide free lunches, regular team bonding & fun office events, and plenty of company swag.

thermo systems provides equal employment opportunities (eeo) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability, or genetics.

salary range: $75,000.00 - $90,000.00/annually

#j-18808-ljbffr","['hmi', 'human-machine interface', 'plc', 'programmable logic controller', 'sis']"
DevOps Engineer / Automation Engineer,Scalable OS,"Manila, Metro Manila",,"summary


the devops engineer supports the implementation, automation, and optimization of infrastructure and deployment processes across the organization. this role is focused on executing devops best practices, ensuring service reliability, enhancing system performance, and delivering technical solutions that align with client and business needs. the devops engineer works closely with the team to identify and resolve technical issues, streamline workflows, and provide exceptional customer service, helping ensure our clients receive efficient, consistent, and scalable it support.

job responsibilities


develop new automation scripts and workflows using rewst, jinja, and powershell.

improve and maintain existing automation to ensure smooth operations and error handling.

work on bugfixes and resolve issues that arise within automation systems.

collaborate with other team members to ensure that automation workflows integrate smoothly with other systems.

document automation processes and provide training or support to team members when necessary.

qualifications

automation: at least 3-5 years experience in developing and maintaining automated workflows in a platform such as rewst, powerautomate, or zapier.  

api integration: experience in integrating and working with various apis to streamline automation and enhance system functionality. 

rapid system familiarization: ability to quickly adapt to and work with a wide variety of systems without extensive prior knowledge, effectively gathering requirements and delivering solutions in dynamic environments. 

scripting: proficiency in jinja and powershell scripting languages.  

debugging: ability to troubleshoot and fix issues in automation, resolve bugs, and handle performance optimization.  

version control: proficiency in git or similar version control systems.  

monitoring & performance tuning: ability to monitor automation tasks and improve system efficiency and performance.  

collaboration: strong communication and collaboration skills to work closely with cross-functional teams. 

documentation & note-taking: skilled in creating thorough documentation and maintaining detailed notes to ensure clarity, continuity, and effective knowledge sharing across teams. 


job requirements


should be willing to accept a long-term work-from-home arrangement.

should be amenable to a permanent night shift schedule.",['sis']
LEAD ELECTRONICS DESIGN ENGINEER,Line Seiki Phils. Inc.,"Cavite, Calabarzon",,"responsibilities:

design and development of new products:

ensure sound theoretical principles were applied in the design of new products.

confirm correctness of decisions on materials used for each part.

assure proper material processing, tooling, and fabrication.

 manufacturing and assembly methods:

utilize industry standard assembly methods and quality control standards.

improve/expand current manufacturing capabilities being utilized by new products developments.

establish new manufacturing capabilities necessary in the manufacture of newly developed products.

continuously search for new areas of research for product development and manufacturing process improvement.

provide technical assistance to other engineers regarding product development and manufacturing designs.

educate and train other engineers in technical designs.

qualifications:

graduate of bs electronics/electrical engineering.

with at least two (2) years of relevant experience.

license is not required.",['sis']
AI Automation Implementation Specialist,5TH AXIS INC,"Tacloban, Eastern Visayas",,"position:ai automation implementation specialistlocation: san diego, cajob id:206# of openings:15th axis is the world leader in automated production, manufacturing, and machining. we are a turn-key solution provider with a focus on product development, milling, turning, assembly, plating, and pioneering innovation through automation and ai.are you a creative thinker who loves turning ideas into reality? ready to tackle exciting challenges and design the future?

join our team of forward-thinkers and shape groundbreaking solutions in an environment that rewards your expertise and passion! ai automation integration specialistas an ai automation integration specialist, you will lead the deployment of cutting-edge automation solutions powered by artificial intelligence. in this highly collaborative and technical role, you’ll bridge strategic vision with operational execution—streamlining workflows, integrating ai systems, and transforming how we operate.

what you will

do:design, deploy, and maintain ai-driven automation solutions to optimize operational efficiency

integrate ai tools (llms, computer vision, ml models) with erp, crm, mes, and other enterprise systems

develop automations using platforms (e.g., uipath, power platform) and custom scripts

build and maintain api integrations to enable seamless data flow

collaborate with stakeholders to identify high-impact use cases and translate them into scalable ai solutions

support training and deployment of ai models, including model tuning and evaluation

lead change management, train end-users, and ensure ongoing system reliability

create technical documentation, process maps, and standard operating procedures

ensure compliance with data governance, security, and ethical ai standards

act as a liaison across business units, it, vendors, and ai developers

perform other duties as assigned

do you have:bachelor’s degree in computer science, engineering, information systems, or equivalent experience3+ years of experience implementing automation tools and scripting (python, powershell, etc.)hands-on experience with ai/ml tools such as openai, azure ai, or google vertexstrong understanding of apis, system integration, and cloud platforms (aws, azure, gcp)experience in manufacturing, supply chain, or industrial environments preferred

familiarity with concepts like nlp, computer vision, and predictive analytics

excellent communication skills and the ability to work cross-functionally

proven ability to manage complex workflows and deliver scalable solutions

certification in automation platforms is a plus (e.g., uipath, microsoft power platform)what we offer:training and room to grow100% employer-paid medical and dental coverage

company-sponsored life and disability insurance401(k) with up to 4% matching

paid holidays and generous ptopleasant, non-corporate environment

fun team bonding events

are you ready to join us?

hyper-growth means hyper-opportunities for everyone on our team! at 5th axis, we believe in growing talent from within, providing clear paths for advancement across all roles. over 90% of our managers and countless others in key positions were promoted internally.

if you're ready to grow with us, join our team and discover where your potential can lead! 5th axis believes that everyone can make an impact, and we are proud to be an equal opportunity employer committed to providing employment opportunity regardless of sex, race, creed, color, gender, religion, marital status, domestic partner status, age, national origin or ancestry, physical or mental disability, medical condition, sexual orientation, pregnancy, military or veteran status, citizenship status, and genetic information. if you require an accommodation to complete the application or the interview process, please contact *******@5thaxis.com .


#j-18808-ljbffr",[]
AUTOMATION PROJECT ENGINEER,RMLogic Systems and Solutions Corporation,"San Pedro, Calabarzon",,"job summary

responsible for all engineering and technical disciplines that the project involves

oversees all aspects of a venture, including planning, budgeting, personnel, and more

spends a good amount of time at the project site and ensures work is being completed safely and efficiently

duties and responsibilities

manages the project from initiation, planning, executing, monitoring, and controlling and closure

determines or performs project specification; controls system design and panel layout based on bom

performs plc, hmi, and scada programming

performs commissioning of the variable frequency drives and system instruments

performs fat (factory acceptance test)

monitors compliance to applicable codes, practices, qa/qc policies performance standard and specifications

supports pre-sales requirements, site surveys, and meetings

provides field support service to customer

performs all other functions that may be assigned from time to time

minimum qualification requirements

education

graduate of bachelor’s degree in electronics and communications engineering/mechanical engineering/ /mechatronics engineering/other engineering program

work experience

with at least 1 to 3 years’ experience in programming motion control for packaging industry application

fresh graduates are encouraged to apply

knowledge

familiar with servo motors, servo drive and actuators

packaging machines operations

motion control application

packml programming standard

autocad and 3d design

ms office application

plc programming language

skills

design motion control application

programming motion control application

troubleshooting and repair of motion control application

excellent communication skills

time-management

able to drive to customer sites

personal attributes

independent, hardworking, analytical, can work under pressure, with minimum supervision, flexible and able to multitask

perks and benefits:

government benefits

13th month pay

performance bonus

allowance

additional leave

company car

company events

paid training

pay raise

staff meals provided","['hmi', 'plc', 'scada']"
n8n Automation Specialist (Remote),Reef,Philippines,,"1 day ago be among the first 25 applicants

this range is provided by reef. your actual pay will be based on your skills and experience — talk with your recruiter to learn more.base pay range$6,240.00/yr - $8,320.00/yr

job title: n8n automation specialistlocation: remote (apply from anywhere!)role type: contract - 10 hours/week

salary range: $12-16 usd/hour

we're hiring a skilled n8n automation specialist to support the automation side of our offshore recruitment business. you'll be responsible for maintaining and improving our existing n8n workflows that power high-volume candidate screening, scoring, and interview processing. we've already mapped out how everything should work — your job is to improve stability, troubleshoot issues, and make refinements we can't do in-house.

this is a core operational function, starting at 10 hours per week with the potential to increase. you'll work directly with our founders and technical lead. requirements2+ years of experience working with n8n, including building and debugging complex workflows

solid troubleshooting skills across webhooks, http requests, graphql, authentication headers, and jsonable to read and write javascript and understand low-code/no-code logic

familiarity with tools like google sheets, make, zapier, airtable, and apis in general

strong attention to detail when testing automations

experience working with recruitment workflows is a bonus

excellent written and spoken englishfast and reliable internet connection; your own laptop or desktop suitable for the role; a quiet working environment; a good quality microphone or headset

benefits$12 - $16 usd/hour on a 10-hour a week contract

ownership over an interesting product that will grow with time

direct employment with established, rapidly growing marketing agency

seniority level

seniority levelassociateemployment type

employment typecontractjob function

job function

information technologyindustriesit services and it consultingreferrals increase your chances of interviewing at reef by 2xget notified about new automation specialist jobs in philippines.manila, national capital region, philippines 1 week ago

senior qa automation engineer (salesforce) - remote, emea shiftqa automation engineer (mobile testing) (remote)philippines $12,000.00-$24,000.00 15 hours ago

applications qa engineer 3 (salesforce) remote, emea shiftgohighlevel automation and ai specialistphilippines $18,000.00-$30,000.00 2 months agoqa automation engineer (mobile testing) (remote)cebu, central visayas, philippines 1 month ago

manila, national capital region, philippines 2 days ago

cebu, central visayas, philippines 1 month ago

cebu, central visayas, philippines 1 month ago

automation specialist (n8n, make, & google apps script)ph automation specialist (n8n, make, & google apps script)cebu, central visayas, philippines 1 month ago

marketing automation specialist (philippines)ormoc, eastern visayas, philippines $15,000.00-$22,000.00 3 days ago

senior manual tester w/ automation experience (wfh/morning)taguig, national capital region, philippines 1 month agoqa automation engineer (mobile testing) (remote)cebu, central visayas, philippines 4 weeks ago

software automation engineer | wfh | night shift

process automation engineer (12 months) - work from home

manila, national capital region, philippines 5 days ago

we’re unlocking community knowledge in a new way. experts add insights directly into each article, started with the help of ai.


#j-18808-ljbffr",[]
Programmable Logic Controller,"BENSAN INDUSTRIES,INC.","Pampanga, Central Luzon",,"at least 2 years of working experience
job responsibilities - develop and write plc programs for industrial automation, ensuring precise control and efficient operation
• utilize programming languages such as ladder diagram, function block diagram, etc.
• integrate plc programs with human-machine interface (hmi) systems, sensors, actuators, and other control devices
• testing plc/hmi programs to identify and resolve any issues or anomalies
• debug and troubleshoot plc/hmi logic to ensure reliable performance
• create detailed documentation for plc programs, including ladder program, wiring diagrams, etc.,
• right and modified new existing omron program.
• wiring omron plc /hmi together with input/output devices and troubleshooting existing omron.
location site: san fernanado, pampanga
we offer high salary","['hmi', 'human-machine interface', 'plc']"
LEAD ELECTRONICS DESIGN ENGINEER,Line Seiki Phils. Inc.,"Cavite, Calabarzon",,"responsibilities:

design and development of new products:

ensure sound theoretical principles were applied in the design of new products.

confirm correctness of decisions on materials used for each part.

assure proper material processing, tooling, and fabrication.

 manufacturing and assembly methods:

utilize industry standard assembly methods and quality control standards.

improve/expand current manufacturing capabilities being utilized by new products developments.

establish new manufacturing capabilities necessary in the manufacture of newly developed products.

continuously search for new areas of research for product development and manufacturing process improvement.

provide technical assistance to other engineers regarding product development and manufacturing designs.

educate and train other engineers in technical designs.

qualifications:

graduate of bs electronics/electrical engineering.

with at least two (2) years of relevant experience.

license is not required.",['sis']
Equipment Engineer,Coherent,"Calamba City, Calabarzon",,"responsible for setting-up assembly and test stations - work closely with product and process engineers to build and set-up user friendly workstations consisting of assembly machines, test equipment, jigs and fixtures, and software interfaces to automate the whole process.
responsible for design, selection, buy-off of machine and equipment with consideration of product and process design and requirements. design, install and test equipment upgrades and modifications to improve uptime, yield, cycle time, and machine throughput.
author machine and equipment operating instruction and manual. provide maintenance documents for all equipment and secure all maintenance activities are being carried out as per planned schedule. perform machine and equipment fmea studies and maintain document for out-of-control action plans.
equipment design and development - new parts vendor qualification. support new equipment installation.
report against various functions including equipment uptime, maintenance effectiveness, and maintenance costs versus plan.
develop assembly and test automation solutions - responsible for design, development, simulate and test of automated assembly and test solutions for the whole production operations. this also cover design for assembly and test graphic user interfaces ensuring user-friendly programs, automated data gathering and analysis, and automated report generation.
leads training of engineers, technicians, and operators in operation and maintenance of newly introduced equipment and automation processes.
knowledge on optics specifically on fiber optics and micro-optics device physics is a huge advantage
experience on basic optical fiber skills - fusion splicing, cleaving, termination, and testing is highly desired
familiarity on fiber optics device testing equipment such as laser sources, tunable laser source, optical spectrum analyzers, power meter, br meter, otdr, and related equipment.
basic manufacturing statistics knowledge - correlation, process optimization, hypothesis testing, coefficient of variance analysis, six sigma, and some statistical process control methodologies.
extensive laboratory experience with photonics test and measurement (measurement of attenuation, device insertion loss, return loss, beam profile, spectral profile, optical power, pulse energy, etc.). a working knowledge of labview or other object oriented programming language like c/c++ and visual basic is a plus.
familiar with industry equipment communication interfaces - gpib, rs232, usb, etc. able to communicate equipment with each other and create a routine specific to the assembly and test automation process. familiar with microcontroller, plc, and hmi automation.
good industry automation skills - motion control, vision system, automatic optical inspection, data management and analysis.
able to interpret product design and specification then develop automated robust test and assembly processes to achieve these requirements considering productivity, product quality, and product reliability
able to interpret materials safety data sheets to create or form proper safety practices in each process. keen to operations safety details considering health and safety of individuals as top priority in all actions.","['hmi', 'plc', 'sis']"
Industrial Electrician,WHR Global Consulting,"Taguig, Metro Manila",,"whr global consulting is hiring a full time industrial electrician role in taguig, ncr. apply now to be part of our team.


job summary:
looking for candidates available to work:
monday: morning
tuesday: morning
wednesday: morning
thursday: morning
friday: morning
more than 4 years of relevant work experience required for this role
expected salary: ₱40,000 - ₱50,000 per month



customer experience & support manager (industrial automation)

location: alabang

qualifications:

bachelor’s degree in electrical, electronics, instrumentation, or mechatronics engineering, or a closely related field.

minimum of 3–5 years of experience in technical customer support or service roles in industrial automation.

proven experience managing or coordinating 24/7 support operations or on-call service environments.

familiarity with industrial automation platforms such as scada (e.g., ignition, wonderware), plcs (e.g., siemens, allen-bradley), and hmi systems.

strong leadership, analytical, and communication skills; able to manage people and performance under time-sensitive situations. 

preferred qualifications:

experience supporting manufacturing plants, water utilities, power distribution, or critical infrastructure clients.

background in field service, commissioning, or systems integration.

knowledge of ot/it convergence, remote monitoring, and secure remote access solutions.

familiarity with crm systems, support ticketing tools, and field service management software.

we are seeking a highly capable and service-oriented customer experience & support manager to lead our post-sales support operations in the industrial automation sector. this role is critical in ensuring consistent, high-quality support for mission-critical systems, including 24/7 technical service coverage for clients in manufacturing, utilities, and infrastructure.you will lead the technical support team, work closely with account managers, and ensure that customer systems remain operational, supported, and fully adopted after commissioning. your focus will be on driving uptime, optimizing response times, and ensuring a seamless customer experience across all support channels and shifts. 

key responsibilities:

develop and implement escalation protocols to resolve urgent technical issues in coordination with engineering and project teams.

monitor real-time support performance, analyze incidents, and ensure root cause resolutions are captured and implemented.

work closely with account managers to ensure smooth handover from project delivery to support phase, including onboarding and training coordination.

conduct regular customer check-ins and reviews to assess satisfaction, gather feedback, and align on long-term goals.

lead the technical support team in providing remote and on-site troubleshooting for deployed scada, plc, mes, and hmi systems.

serve as the voice of the customer within the organization, providing feedback to engineering, product, and quality teams.

develop internal support knowledge base, training modules, and incident handling workflows to ensure consistent service delivery across shifts.

collaborate with sales and account managers to identify upsell or service contract opportunities.","['hmi', 'plc', 'sis', 'scada']"
AI & Automation Engineer,Bold Business,Philippines,,"1 week ago be among the first 25 applicants

get ai-powered advice on this job and more exclusive features.about the rolewe’re seeking a detail-oriented and innovative

about the rolewe’re seeking a detail-oriented and innovative automation, integration & ai specialist to join our growing team. in this role, you’ll drive efficiency across recruiting, sales, marketing, and operations by building automations, integrating tools, and applying ai solutions.

you’ll work closely with cross-functional stakeholders to deliver scalable, tech-enabled solutions that power our business—and our clients’. key responsibilitiessystems integration & automationdesign and manage integrations between internal tools using zapier, make (integromat), webhooks, and apis. build custom automation scripts or microservices using python or node.js.

monitor, test, and troubleshoot integrations to ensure system stability and performance. document and scale automation workflows for internal teams. ai & intelligent workflow innovationimplement ai tools (e.g., chatgpt, rpa, nlp) to enhance productivity and optimize business processes.

develop smart automations for tasks like screening, enrichment, and summarization. collaborate across teams to identify high-impact ai use cases and drive adoption. data scraping & enrichmentscrape data from platforms like linkedin and job boards using tools like apify, puppeteer, or phantombuster.

enrich and prepare scraped datasets using tools like hunter.io, clearbit, or similar platforms. build and manage pipelines for outbound recruiting and marketing initiatives. reporting & cross-team collaborationdevelop dashboards and performance tracking reports to support data-driven decisions.

work closely with both technical and non-technical teams to translate business needs into scalable technical solutions. key qualifications4–8 years of experience in automation, systems integration, or a related technical operations role. excellent english communication and collaboration skills in a remote, global team setting.

bachelor’s degree in computer science, information systems, or a related field. proficient in api integrations, webhooks, and automation platforms like zapier and make.

skilled in python or node.js for scripting and building custom automations. experience with web scraping tools (e.g., apify, puppeteer, phantombuster) and enrichment services. familiarity with ai tools for automation (e.g., chatgpt, rpa, nlp models).

strong analytical mindset and ability to translate data into actionable insights. prior experience in bpo, saas, recruiting, or sales/marketing tech environments is a plus. what

we offercompetitive compensation.100% remote work with a focus on flexibility and work-life balance. a collaborative and fast-paced environment where your contributions have visible impact. cross-functional exposure to a variety of departments and global clients.

an opportunity to work with emerging tech—including ai, automation, and data tools. about bold businessbold business is a us-based global business process outsourcing (bpo) firm with over 25 years of experience and $7b+ in client engagements. we help fast-growing companies scale through smart talent strategies, automation, and technology-driven solutions.

bold business recruiters always use a “@boldbusiness.com” email address and/or from our applicant tracking system, greenhouse. any variation of this email domain should be considered suspicious. additionally, bold business recruiters and authorized representatives will never request sensitive information in email or via text.

seniority level

seniority level

not applicableemployment type

employment type

full-time

job functionindustriessoftware developmentreferrals increase your chances of interviewing at bold business by 2xsign in to set job alerts for “automation engineer” roles.manila, national capital region, philippines 1 week ago

baguio city, cordillera admin region, philippines 2 weeks ago

software qa automation engineer (remote, philippines)taguig, national capital region, philippines ₱120,000.00-₱120,000.00 1 month agoai strategy and automation engineer (remote)cebu, central visayas, philippines 1 week ago

cebu, central visayas, philippines 1 month ago

senior test automation engineer (work-from-home) with joining bonusmakati, national capital region, philippines 3 weeks ago

manila, national capital region, philippines 1 month ago

manila, national capital region, philippines 2 weeks ago

cebu, central visayas, philippines 4 weeks ago

cebu, central visayas, philippines 2 months ago

senior qa automation tester (wfh with up to 100k signing bonus)makati, national capital region, philippines 5 days ago

philippines $12,000.00-$24,000.00 5 days ago

quezon city, national capital region, philippines 4 months ago

mandaluyong, national capital region, philippines 2 months ago

quezon city, national capital region, philippines 2 months ago

taguig, national capital region, philippines 2 months ago

national capital region, philippines 4 hours ago

makati, national capital region, philippines 2 months ago

pasig, national capital region, philippines 2 months ago

we’re unlocking community knowledge in a new way. experts add insights directly into each article, started with the help of ai.


#j-18808-ljbffr",[]
QA Automation Engineer,Sysgen,"Taguig, Metro Manila",,"description

we are seeking an automation engineer that loves working with the web and mobile platforms, to join our team of passionate engineers and analysts in a modern development environment.  our agile teams collaborate to define requirements, design, create and test solutions which target complex business problems.  the automation engineer is responsible for writing test design specifications and automated test cases, and designing and developing test automation framework and tools to ensure the functionality of the software.  the automation engineer handles work of moderate to complex scope and complexity.  our focus is on building the highest quality applications using cutting-edge technologies to satisfy market driven needs.
 
our “qa technology stack” consists of:

microsoft sql server 2019

android debug bridge (adb)

spiratest

github

playwright automation framework

aws cloud platform

this is a hybrid role which requires 2 working days onsite in our office. our office is located in bgc taguig in the three neo building.

responsibilities


design, implement and execute test cases based on product functional specifications.

develop, implement and maintain test automation scripts using automation tools.

develop solid test automation framework.

analyze software issues to determine root causes and provide detailed reports to the qa manager and software engineers.

conduct thorough and accurate software testing and provide approvals during development sprints, integration, release, regression and patch software development phases; document results.

perform comprehensive testing and validate that program modules meet specifications and standards; this involves interviewing multiple parties to design effective test solutions.

create and maintain test plans and test cases for all testing assignments typically of moderate complexity.

participate in meetings to gain and apply knowledge of feature requirements, system operation, and ensure new feature stories have appropriate test criteria defined.

review and edit regression test case scripts.

document and execute black box, exploratory/heuristic, end-to-end, and any other testing approaches necessary to ensure effective product test coverage.

adhere to and assist in the development of standards and procedures.

assist with reviewing and editing test case scripts and writing queries.

assist in the identification of new procedures, methods and/or tools to improve the efficiency of the qa process.

assist in the design and requirements for new products.

provide analysis and consulting support for development and support employees.

communicate effectively with technical and non-technical audiences.

work independently to organize assigned work and make sound independent decisions.

operate effectively in a fast-paced environment; juggling multiple tasks effectively to meet deadlines.

apply technical skills to address increasingly complex test scenarios involving web and database servers, mobile devices and/or other systems components.

relate the application of computer capabilities and testing technical to real world problem resolution.

demonstrate an in-depth understanding of assigned software modules.

exhibit efficient management of time, tasks and priorities.

maintain a positive team player attitude.

assist in defining/refining qa standards and procedures.

demonstrate an excellent work ethic and focus on work, tasks, priorities and improving the qa process.

stay abreast of the latest trends in software development and quality assurance.

work directly with customers to help diagnose urgent issues.

qualifications


bachelor's degree or higher in computer sciences, management information science, or business. equivalent work experience may substitute for degree requirement. 

prior experience in software automation required, client software or related experience helpful.

solid analytical and problem-solving skills involving sound decision making and effective resolutions.

solid understanding of qa testing methodologies and practices preferred.

expertise with basic coding and/or scripting is required.

full software development lifecycle familiarity is strongly preferred.

strong planning and organizational skills involving the ability to manage multiple work streams effectively.

strong time management skills with proven track record of delivering successful results.
strong interpersonal and communication skills involving the ability to communicate verbally and in writing technical and non-technical information.

firm knowledge and experience with relational databases including solid knowledge and understanding of sql and query writing.

proficient with microsoft office.

familiarity with test case management tools such as spiratest.

familiarity with github.

familiarity with android operating system.

familiarity with playwright automation framework

ability to work independently as well as collaborate in a team as well as across functional groups.

ability to be effective in a fast paced environment.",['sis']
Automation Engineer,Yondu,"Taguig, Metro Manila",,"job description


responsibilities:

design and develop automated test scripts and frameworks for various software applications.
collaborate with cross-functional teams to define test requirements and create detailed test plans.
leads the defect management process by identifying, logging, and tracking defects; conducts root cause analysis for critical issues and implements preventive measures to reduce future defects
ensures that non-functional testing (e.g., performance, security) is planned and executed, and that test data and environments are available and stable, to validate system performance and security under expected loads
manages the integration of automated testing and quality gates within ci/cd pipelines, working with devops teams to embed continuous testing so that code changes are validated automatically in the delivery process
defines and monitors key quality metrics (e.g.. test coverage, defect leakage, test cycle time) and regularly reports testing status to stakeholders. uses insights from metrics to drive continual improvements in testing processes and tooling
promotes a culture of quality by influencing teams to adhere to testing standards and best practices, providing mentorship and technical guidance to junior quality engineers, and championing quality initiatives across the organization
minimum qualifications


qualifications:

bachelor’s degree in it, computer science, engineering, or any related course.
experience in software development with qa automaton testing
proficiency in programming languages
experience in software testing methodologies and quality assurance tools and technologies",['sis']
