Role of Job,Company Name,Company Location,Type of Work,Description
INSTRUMENTATION & CONTROL DESIGNER,"Zachry Philippines, Inc.","Manila, Metro Manila",N/A,"job qualifications:

1. education and registration:

graduate of instrumentation and control engineering, i&c technology, or other related courses.

2. experience:

at least 5 years of instrumentation and control design and drafting experience for oil and gas, petrochemical, power, and other process-related industrial plants or facilities.

3. skills and knowledge:

use of 2d and 3d design software such as autocad, microstation, pdms, e3d, and similar software. knowledgeable in ms office.

4. other requirements:

good interpersonal and communication skills.

job description:

1. project lead

ensure the company’s quality management system and related design and documentation procedures are implemented in all phases of project execution.

2. engineering and design

responsible for the design and drafting of instrumentation and control drawings for the oil and gas, petrochemical, food & beverages, and consumer products industries ensuring clarity, completeness, and minimal errors in design output, and compliance to project specifications, man-hour budget, and schedule.

responsible for the drafting of design deliverables such as location plans, cable tray, and trench routing plan layouts, instrument air layout, junction box wiring diagrams, loop diagrams, hook-ups, installation details, and other design deliverables.

3d modeling of cable tray, instrumentation equipment, and other instrumentation and control works.

prepares material take-off, lists, indexes, and schedules for instrumentation and control works.

3. others

ensure that the company’s administrative, human resources, and safety rules and regulations are followed at all times.

willing to work extended hours as per project requirements.

available for field assignments locally and/or overseas.

performs other related tasks that may be assigned by the immediate superior."
Laboratory Technician,De La Salle University,Philippines,N/A,"**qualifications**:
must be a graduate of electrical technology or any related course.
must have at least two (2) years of related work experience.
working knowledge in operation, instrumentation, calibration, maintenance, and alignment of equipment, apparatus and machines.
ability to fabricate and assemble various parts of apparatus, machines, and equipment.
must have excellent oral and written communication skills.
must have a keen attention to detail and accuracy.
must be highly dependable, trustworthy and service-oriented, with interpersonal and customer-service skills.
job description/summary
generally is assigned to a combination of work activities relative to the operation, monitoring, organization, maintenance, and safekeeping of electrical machinery, equipment, apparatus, spare parts, and other similar items under his designated laboratory area.

joanne v. mar
executive director
community, culture and human resources services office
application letter
detailed curriculum vitae including a recent passport-d photograph

**qualifications**:
1. must be a graduate of electrical technology or any related course.

2. must have at least two (2) years of related work experience.

3. working knowledge in operation, instrumentation, calibration, maintenance, and alignment"
Lead Control Systems Engineer,Thermo Systems LLC.,"Parañaque, Metro Manila",N/A,"career opportunities with thermo systems llc

careers at thermo systems llc

current job opportunities are posted here as they become available.

subscribe to our rss feeds to receive instant updates as new positions become available.

thermo systems is a global, full-service control systems integration partner, delivering world-class automation solutions in the district energy, life sciences, and mission critical markets. our diverse leadership and dedicated engineering team are committed to excellence and consistent growth. our unique company culture, known as ""the thermo way,"" strengthens our team by fostering an environment where all members perform their best.

our commitment to being unified, dynamic, and delivering excellence is evident in how we build trusting relationships through connection and camaraderie, ability to adapt, and focus on integrity and success. these values guide our daily operations and interactions, setting the standard for our team's behavior. as we continue to grow and evolve, ""the thermo way"" supports our goals of becoming a world-class organization, ensuring employee success, customer success, and financial strength.

job summary:

works on control system projects; leads in hardware and software design, development, integration, testing, and installation support. listens, takes direction, and seeks guidance from the assigned project leads, the supervisors, and company leadership.

education and experience:

bachelor of science; electrical engineering, mechanical engineering, computer science, or other pertinent curriculum combined with relevant technical experience.
typically 2+ years total experience.
proven track record: 1-3 years as control system engineer or equivalent.

duties and responsibilities:

technical responsibilities:

displays electrical and mechanical system troubleshooting skills.
demonstrate self-sufficiency in the field.
demonstrate the ability to lead other project members during installation, start-up, and commissioning.
lead and perform factory acceptance tests (fat).
read and interpret piping & instrumentation diagrams and wiring diagrams.
exhibit full understanding of human-machine interface (hmi) and programmable logic controller (plc) applications.
well versed in the company’s quality management system (qms).
provide review of standard documents generated by others for technical, grammatical, and aesthetic content.
demonstrate the ability to perform intermediate control system design with guidance from others.
provide instrumentation specifications for basic control systems.
demonstrate an understanding of information technology (it) system, network infrastructure, and computer system design, as it relates to control system integration.

customer service:

communicate in an effective, positive, and proactive manner with customers.
follow customer specific site standards and procedures.
always conduct business in professional manner.
provide excellent customer care and support.
be patient, attentive, and responsive to customers in solving their problems.
always follow up and honor commitments with customers.
develops an understanding of the customer needs and actively seeks to service those needs.
complete assigned tasks accurately, on schedule, and under budget.

project responsibilities:

understand the scope of work assigned to you, identify when issues arise that are beyond that scope, and communicate those issues to the assigned project lead.
lead individual project related tasks and/or small to mid-sized projects in their entirety.
provides accurate feedback on status of assigned tasks.
demonstrates an awareness of project contracts and specifications.

required skills and abilities:

in addition to control system engineer skills and abilities:
effectively communicates with co-workers.
strategically thinks and leverages knowledge to solve problems.
able to be independently effective and takes personal responsibility.
manage time efficiently.
promotes a positive/collaborative team culture.
overnight travel may be required up to 50%

on call:

on call rotation participation may be required based on location and client needs.

work authorization/other requirements:

proof of eligibility to work in the country where the position is located is required.
maintain a valid drivers license.
fit for duty at all times

culture:

model thermo systems core values of employee success, customer success and financial strength by:

seeking new and additional business through project change orders, additional services to existing customers, and referrals for new customers/projects. drive financial success.
be a good teammate, support your colleagues, promote a positive atmosphere for those around you. drive employee success.
go the extra mile for your customer, take ownership of their needs, over communicate. drive customer success.
foster an environment of integrity, trust, collaboration, professionalism, serving one another, leading by example, and assuming good intent each and every day.

what you'll get:

competitive salary, annual bonuses, 401(k) with company match, and business travel reimbursement: we appreciate our employees, and we make sure they know it.
benefits: we offer full-time employees multiple healthcare packages, including low-cost options.
casual dress: every day is ""casual friday""; we want you to be comfortable when you come to work.
training: we offer in-house and factory technical training to keep our staff sharp.
tuition reimbursement: we encourage academic advancement and professional credentialing.
vacation/sick time: we believe work-life balance is essential. ensuring our employees have time to truly relax and recharge is important to us.
culture & extras: we provide free lunches, regular team bonding & fun office events, and plenty of company swag.

thermo systems provides equal employment opportunities (eeo) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability, or genetics.

salary range: $75,000.00 - $90,000.00/annually

#j-18808-ljbffr"
"Automation Assistant Engineer (ME, Mechatronics, Automation, EE, COE, ECE)",Sercomm,"Calamba City, Calabarzon",N/A,"job summary:

the automation robot engineer is responsible for the installation, programming, troubleshooting, and maintenance of robotic systems used in industrial automation processes. the role supports production efficiency, safety, and continuous improvement through the integration and optimization of robotic and automation technologies.

key responsibilities:

-program, test, and commission robotic arms (e.g.,denso, rokae).

-design and implement robotic solutions for automated manufacturing processes.

-perform regular maintenance and troubleshooting of robotic equipment.

-integrate robots with plcs, sensors, and other control systems.

-analyze robot data and optimize cycle time, accuracy, and reliability.

-support production and maintenance teams with technical guidance.

-create and maintain documentation: wiring diagrams, control logic, risk assessments, and manuals.

-conduct training for operators and maintenance personnel.

-ensure compliance with safety and quality standards.

qualifications:

-bachelor’s degree in mechatronics, electrical, mechanical, or automation engineering. (or diploma/certificate for technician roles)

-experience in robotic systems and industrial automation or equivalent

-knowledge of plc programming, sensors, actuators, and vision systems.

-strong problem-solving and communication skills.

preferred skills:

experience with cad for fixture/tooling design.

experience in automotive, electronics, or manufacturing industries.

ability to work under pressure and in cross-functional teams."
Lead Control Systems Engineer,Thermo Systems LLC.,"Parañaque, Metro Manila",N/A,"career opportunities with thermo systems llccareers at thermo systems llccurrent job opportunities are posted here as they become available. subscribe to our rss feeds to receive instant updates as new positions become available.

thermo systems is a global, full-service control systems integration partner, delivering world-class automation solutions in the district energy, life sciences, and mission critical markets. our diverse leadership and dedicated engineering team are committed to excellence and consistent growth. our unique company culture, known as ""the thermo

way,"" strengthens our team by fostering an environment where all members perform their best. our commitment to being unified, dynamic, and delivering excellence is evident in how we build trusting relationships through connection and camaraderie, ability to adapt, and focus on integrity and success. these values guide our daily operations and interactions, setting the standard for our team's behavior.

as we continue to grow and evolve, ""the thermo way"" supports our goals of becoming a world-class organization, ensuring employee success, customer success, and financial strength. job summary:works on control system projects; leads in hardware and software design, development, integration, testing, and installation support.

listens, takes direction, and seeks guidance from the assigned project leads, the supervisors, and company leadership. education and experience:bachelor of science; electrical engineering, mechanical engineering, computer science, or other pertinent curriculum combined with relevant technical experience. typically 2+ years total experience.

proven track record: 1-3 years as control system engineer or equivalent. duties and responsibilities:technical responsibilities:displays electrical and mechanical system troubleshooting skills. demonstrate self-sufficiency in the field.

demonstrate the ability to lead other project members during installation, start-up, and commissioning. lead and perform factory acceptance tests (fat). read and interpret piping & instrumentation diagrams and wiring diagrams.

exhibit full understanding of human-machine interface (hmi) and programmable logic controller (plc) applications. well versed in the company’s quality management system (qms). provide review of standard documents generated by others for technical, grammatical, and aesthetic content.

demonstrate the ability to perform intermediate control system design with guidance from others. provide instrumentation specifications for basic control systems. demonstrate an understanding of information technology (it) system, network infrastructure, and computer system design, as it relates to control system integration.

customer service:communicate in an effective, positive, and proactive manner with customers. follow customer specific site standards and procedures. always conduct business in professional manner.

provide excellent customer care and support. be patient, attentive, and responsive to customers in solving their problems. always follow up and honor commitments with customers.

develops an understanding of the customer needs and actively seeks to service those needs. complete assigned tasks accurately, on schedule, and under budget. project responsibilities:understand the scope of work assigned to you, identify when issues arise that are beyond that scope, and communicate those issues to the assigned project lead.

lead individual project related tasks and/or small to mid-sized projects in their entirety. provides accurate feedback on status of assigned tasks. demonstrates an awareness of project contracts and specifications.

required skills and abilities:in addition to control system engineer skills and abilities:effectively communicates with co-workers. strategically thinks and leverages knowledge to solve problems. able to be independently effective and takes personal responsibility.

manage time efficiently. promotes a positive/collaborative team culture. overnight travel may be required up to 50%on call:on call rotation participation may be required based on location and client needs.

work authorization/other requirements:proof of eligibility to work in the country where the position is located is required. maintain a valid drivers license. fit for duty at all timesculture:model thermo systems core values of employee success, customer success and financial strength by:seeking new and additional business through project change orders, additional services to existing customers, and referrals for new customers/projects.

drive financial success. be a good teammate, support your colleagues, promote a positive atmosphere for those around you. drive employee success.

go the extra mile for your customer, take ownership of their needs, over communicate. drive customer success. foster an environment of integrity, trust, collaboration, professionalism, serving one another, leading by example, and assuming good intent each and every day.

what you'll get:competitive salary, annual bonuses, 401(k) with company match, and business travel reimbursement: we appreciate our employees, and we make sure they know it.

benefits: we offer full-time employees multiple healthcare packages, including low-cost options. casual dress: every day is ""casual friday""; we want you to be comfortable when you come to work. training: we offer in-house and factory technical training to keep our staff sharp.

tuition reimbursement: we encourage academic advancement and professional credentialing. vacation/sick time: we believe work-life balance is essential. ensuring our employees have time to truly relax and recharge is important to us.

culture & extras: we provide free lunches, regular team bonding & fun office events, and plenty of company swag. thermo systems provides equal employment opportunities (eeo) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability, or genetics.salary range: $75,000.00 - $90,000.00/annually


#j-18808-ljbffr"
"Control Systems Project Engineer - Role located in Montgomery, AL",Thermo Systems LLC.,"Parañaque, Metro Manila",N/A,"career opportunities with thermo systems llc

careers at thermo systems llc

current job opportunities are posted here as they become available.

subscribe to our rss feeds to receive instant updates as new positions become available.

control systems project engineer - role located in montgomery, al


thermo systems is a global, full-service control systems integration partner, delivering world-class automation solutions in the district energy, life sciences, and mission critical markets. our diverse leadership and dedicated engineering team are committed to excellence and consistent growth. our unique company culture, known as “the thermo way,” strengthens our team by fostering an environment where all members perform their best.

our commitment to being unified, dynamic, and delivering excellence is evident in how we build trusting relationships through connection and camaraderie, adapt quickly, and execute with integrity so that every employee, every customer, and the company itself succeeds. these values guide our daily operations and interactions—supporting employee success, customer success, and financial strength as we grow into a world-class organization.

job summary:

as the control system project engineer, you will own the technical delivery and quality oversight of our control system projects in the mission critical data center portfolio. you will:

lead the project-specific quality control plan (qcp), ensuring all standards and processes are effectively implemented on-site.
serve as the full-time quality control (qc) representative—coordinating inspections, managing non-conformances, and executing root-cause analyses.
partner closely with engineering, bim, commissioning, and safety teams to guarantee installations meet approved drawings, submittals, and client expectations.
provide hands-on commissioning, fat oversight, and technical troubleshooting support.
take direction from project leads and company leadership while assuming ultimate responsibility for quality performance and continuous improvement.
education and experience:

bachelor of science in electrical engineering, mechanical engineering, computer science, or related field or equivalent technical experience.
minimum 4 years total experience in control systems engineering.
2+ years in a lead or quality oversight role (e.g., lead control systems engineer, quality manager).
proven track record of successfully managing project quality control plans and commissioning activities.
duties and responsibilities:


technical & quality management:

quality control plan: develop, implement, and maintain the project qcp in alignment with “the thermo way” and client requirements.
on-site qc representation: provide full-time, on-site quality oversight for all shifts—owning inspections, corrective actions, and documentation.

inspections & non-conformance:

perform initial, follow-up, specialty, and final inspections, document findings in acc build.
log non-conformances, deliver root cause analysis reports, and track resolution within priority timelines.
participate in bim clash-detection/resolution meetings, update models per bim execution plan.
serve as qc liaison during commissioning (levels 1–3), coordinating with third-party agents and field teams.
verify materials and installations conform to approved shop drawings and submittals.
oversee monthly as-built deliverables (laser/gps scans) prior to pay applications, ensuring accurate model updates.

documentation & reporting:

archive all qc records—inspection logs, test reports, rcas, and as-built documentation—and make them accessible for audits.
deliver monthly qc performance reports as part of wip forecasting packages.

project engineering & customer service:

lead start-up and commissioning activities; manage fats.
interpret p&ids, wiring diagrams, hmi/plc applications, and instrument specifications.
troubleshoot technical issues in the field; communicate updates proactively to customers and trade partners.
ensure all work is completed safely, on schedule, under budget, and to contractual specifications.

supervisory & cross-functional collaboration:

direct and mentor junior engineers and field technicians on qc processes and best practices.
coordinate quality and safety integration with the subcontractor’s safety representative and project superintendent.
identify risks, propose mitigation plans, and seek opportunities for process improvement and additional services.
required skills and abilities:

deep understanding of quality management systems (qms) and control system integration.
decisive decision-making; strong initiative and relationship-building skills.
excellent communication—able to positively engage customers, colleagues, and trade partners.
proficiency with acc build (or equivalent qc tracking tools), bim coordination, and microsoft office suite.
ability to anticipate issues, manage priorities efficiently, and promote a collaborative team culture.
travel and on call:

travel: overnight travel up to 10% visiting other project sites, commissioning locations, and factory acceptance tests.
on-call: minimal, ot as dictated by project needs

work authorization/other requirements:

proof of eligibility to work in the country where the position is located is required.
maintain a valid drivers license.
fit for duty at all times

culture:

model thermo systems core values of employee success, customer success and financial strength by:

seeking new and additional business through project change orders, additional services to existing customers, and referrals for new customers/projects. drive financial success.
be a good teammate, support your colleagues, promote a positive atmosphere for those around you. drive employee success.
go the extra mile for your customer, take ownership of their needs, over communicate. drive customer success.
foster an environment of integrity, trust, collaboration, professionalism, serving one another, leading by example, and assuming good intent each and every day.

what you'll get:

competitive salary, annual bonuses, 401(k) with company match, and business travel reimbursement: we appreciate our employees, and we make sure they know it.
benefits: we offer full-time employees multiple healthcare packages, including low-cost options.
casual dress: every day is ""casual friday""; we want you to be comfortable when you come to work.
training: we offer in-house and factory technical training to keep our staff sharp.
tuition reimbursement: we encourage academic advancement and professional credentialing.
vacation/sick time: we believe work-life balance is essential. ensuring our employees have time to truly relax and recharge is important to us.
culture & extras: we provide free lunches, regular team bonding & fun office events, and plenty of company swag.

thermo systems provides equal employment opportunities (eeo) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability, or genetics.

salary range: $95,000.00 - $120,000.00/annually

#j-18808-ljbffr"
"Control Systems Project Engineer 1 - Role located in Montgomery, AL",Thermo Systems LLC.,"Parañaque, Metro Manila",N/A,"career opportunities with thermo systems llc

careers at thermo systems llc

current job opportunities are posted here as they become available.

subscribe to our rss feeds to receive instant updates as new positions become available.

control systems project engineer 1 - role located in montgomery, al


thermo systems is a global, full-service control systems integration partner, delivering world-class automation solutions in the district energy, life sciences, and mission critical markets. our diverse leadership and dedicated engineering team are committed to excellence and consistent growth. our unique company culture, known as ""the thermo way,"" strengthens our team by fostering an environment where all members perform their best.

our commitment to being unified, dynamic, and delivering excellence is evident in how we build trusting relationships through connection and camaraderie, ability to adapt, and focus on integrity and success. these values guide our daily operations and interactions, setting the standard for our team's behavior. as we continue to grow and evolve, ""the thermo way"" supports our goals of becoming a world-class organization, ensuring employee success, customer success, and financial strength.

job summary:

works on a variety of control system projects. leads individual project related tasks and/or complicated large-scale projects in their entirety. provides engineering support on projects/tasks that are led by others. assumes ultimate responsibility for the assigned projects/tasks. takes direction and seeks guidance from assigned project leads, the supervisors, and company leadership.

education and experience:

bachelor of science; electrical engineering, mechanical engineering, computer science, or other pertinent curriculum combined with relevant technical experience.
typically, 4+ years total experience.
proven track record: 2+ years as lead control systems engineer or equivalent.

duties and responsibilities:

technical responsibilities:

completely self-sufficient in the field.
lead and assist with start-up and commissioning of control systems.
lead and perform factory acceptance tests (fat).
experienced in reading and interpreting piping & instrumentation diagrams and wiring diagrams. able to provide feedback regarding field conditions versus drawings.
experienced with human-machine interface (hmi) and programmable logic controller (plc) applications.
demonstrates deep understanding of the company’s quality management system (qms).
provide review of standard documents generated by others for technical, grammatical, and aesthetic content.
firm understanding of complex control system design.
provide instrumentation specifications for complex control systems.
demonstrate thorough understanding of information technology (it) system, network infrastructure, and computer system design, as it relates to control system integration.

customer service:

communicate in an effective, positive, and proactive manner with customers.
follow customer specific site standards and procedures.
always conduct business in professional manner.
provide excellent customer care and support.
be patient, attentive, and responsive to customers in solving their problems.
always follow up and honor commitments with customers.
demonstrates an understanding of the customer needs and actively seeks to service those needs.

project responsibilities:

complete assigned tasks accurately, on schedule, and under budget.
understand the scope of work assigned to you, identify when issues arise that are beyond that scope, and communicate those issues to the assigned project lead.
lead individual project related tasks and/or small to mid-sized projects in their entirety.
take on the role of the customer’s main contact on those projects that the employee is assigned to lead.
communicate in an effective, positive, and proactive manner with customers and trade partners.
anticipates possible issues that may arise during a project and proactively plans solutions.
seeks opportunities for new work with customers and contractors.
delivers detailed feedback on project and task assignments.
demonstrates an understanding of project contracts and specifications.
ability to identify and manage risks.

supervisory responsibilities:

where applicable, directs and oversees junior or subordinate staff members regarding construction, operations, and/or maintenance tasks and assignments at a project site.

required skills and abilities:

in addition to control systems project engineer i skills and abilities:

builds relationships with customers.
shows initiative by seeking out new responsibilities.
anticipates possible issues that may arise during a project.
uses resources efficiently to complete project tasks.
actively works to promote a positive/collaborative team culture.
overnight travel may be required up to 50%

on call:

on call rotation participation may be required based on location and client needs.

work authorization/other requirements:

proof of eligibility to work in the country where the position is located is required.
maintain a valid driver's license.
fit for duty at all times

culture:

model thermo systems core values of employee success, customer success and financial strength by:

seeking new and additional business through project change orders, additional services to existing customers, and referrals for new customers/projects. drive financial success.
be a good teammate, support your colleagues, promote a positive atmosphere for those around you. drive employee success.
go the extra mile for your customer, take ownership of their needs, over communicate. drive customer success.
foster an environment of integrity, trust, collaboration, professionalism, serving one another, leading by example, and assuming good intent each and every day.

what you'll get:

competitive salary, annual bonuses, 401(k) with company match, and business travel reimbursement: we appreciate our employees, and we make sure they know it.
benefits: we offer full-time employees multiple healthcare packages, including low-cost options.
casual dress: every day is ""casual friday""; we want you to be comfortable when you come to work.
training: we offer in-house and factory technical training to keep our staff sharp.
tuition reimbursement: we encourage academic advancement and professional credentialing.
vacation/sick time: we believe work-life balance is essential. ensuring our employees have time to truly relax and recharge is important to us.
culture & extras: we provide free lunches, regular team bonding & fun office events, and plenty of company swag.

thermo systems provides equal employment opportunities (eeo) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability, or genetics.

#j-18808-ljbffr"
Service Engineer – Philippines,"ALVTechonologies Philippines, Inc.","Pasig, Metro Manila",N/A,"scientific analytical and general laboratory equipmentjob scope:installation of equipment and provide training to customers

troubleshooting of laboratory equipment issues

perform maintenance and repair service

after sales support of customer through follow up support

requirements:candidates are likely to be in their late 20s, graduate of an engineering course (electrical, electronics engineering, electromechanical) or science course (materials science and engineering, physics, instrumentation engineering). previous experience in servicing laboratory, analytical instruments, and spectroscopy equipment is an advantage but not compulsory. an engineering license is an advantage (for engineering graduates).

at least 1 year of work experience is required. to successful applicants, we will offer a comprehensive reward package comprising basic monthly salary, year-end bonus schemes, medical health benefits, supplementary allowances such as transport/meal expenses incurred during the course of work, and commissions (where applicable). applicants for the above positions must be able to travel without family hindrance and at short notice.

immediate positions are available. office location is in ortigas, pasig city, philippines.


#j-18808-ljbffr"
Lead Control Systems Engineer,Thermo Systems LLC.,"Parañaque, Metro Manila",N/A,"career opportunities with thermo systems llccareers at thermo systems llccurrent job opportunities are posted here as they become available. subscribe to our rss feeds to receive instant updates as new positions become available.

thermo systems is a global, full-service control systems integration partner, delivering world-class automation solutions in the district energy, life sciences, and mission critical markets. our diverse leadership and dedicated engineering team are committed to excellence and consistent growth. our unique company culture, known as ""the thermo

way,"" strengthens our team by fostering an environment where all members perform their best. our commitment to being unified, dynamic, and delivering excellence is evident in how we build trusting relationships through connection and camaraderie, ability to adapt, and focus on integrity and success. these values guide our daily operations and interactions, setting the standard for our team's behavior.

as we continue to grow and evolve, ""the thermo way"" supports our goals of becoming a world-class organization, ensuring employee success, customer success, and financial strength. job summary:works on control system projects; leads in hardware and software design, development, integration, testing, and installation support.

listens, takes direction, and seeks guidance from the assigned project leads, the supervisors, and company leadership. education and experience:bachelor of science; electrical engineering, mechanical engineering, computer science, or other pertinent curriculum combined with relevant technical experience. typically 2+ years total experience.

proven track record: 1-3 years as control system engineer or equivalent. duties and responsibilities:technical responsibilities:displays electrical and mechanical system troubleshooting skills. demonstrate self-sufficiency in the field.

demonstrate the ability to lead other project members during installation, start-up, and commissioning. lead and perform factory acceptance tests (fat). read and interpret piping & instrumentation diagrams and wiring diagrams.

exhibit full understanding of human-machine interface (hmi) and programmable logic controller (plc) applications. well versed in the company’s quality management system (qms). provide review of standard documents generated by others for technical, grammatical, and aesthetic content.

demonstrate the ability to perform intermediate control system design with guidance from others. provide instrumentation specifications for basic control systems. demonstrate an understanding of information technology (it) system, network infrastructure, and computer system design, as it relates to control system integration.

customer service:communicate in an effective, positive, and proactive manner with customers. follow customer specific site standards and procedures. always conduct business in professional manner.

provide excellent customer care and support. be patient, attentive, and responsive to customers in solving their problems. always follow up and honor commitments with customers.

develops an understanding of the customer needs and actively seeks to service those needs. complete assigned tasks accurately, on schedule, and under budget. project responsibilities:understand the scope of work assigned to you, identify when issues arise that are beyond that scope, and communicate those issues to the assigned project lead.

lead individual project related tasks and/or small to mid-sized projects in their entirety. provides accurate feedback on status of assigned tasks. demonstrates an awareness of project contracts and specifications.

required skills and abilities:in addition to control system engineer skills and abilities:effectively communicates with co-workers. strategically thinks and leverages knowledge to solve problems. able to be independently effective and takes personal responsibility.

manage time efficiently. promotes a positive/collaborative team culture. overnight travel may be required up to 50%on call:on call rotation participation may be required based on location and client needs.

work authorization/other requirements:proof of eligibility to work in the country where the position is located is required. maintain a valid drivers license. fit for duty at all timesculture:model thermo systems core values of employee success, customer success and financial strength by:seeking new and additional business through project change orders, additional services to existing customers, and referrals for new customers/projects.

drive financial success. be a good teammate, support your colleagues, promote a positive atmosphere for those around you. drive employee success.

go the extra mile for your customer, take ownership of their needs, over communicate. drive customer success. foster an environment of integrity, trust, collaboration, professionalism, serving one another, leading by example, and assuming good intent each and every day.

what you'll get:competitive salary, annual bonuses, 401(k) with company match, and business travel reimbursement: we appreciate our employees, and we make sure they know it.

benefits: we offer full-time employees multiple healthcare packages, including low-cost options. casual dress: every day is ""casual friday""; we want you to be comfortable when you come to work. training: we offer in-house and factory technical training to keep our staff sharp.

tuition reimbursement: we encourage academic advancement and professional credentialing. vacation/sick time: we believe work-life balance is essential. ensuring our employees have time to truly relax and recharge is important to us.

culture & extras: we provide free lunches, regular team bonding & fun office events, and plenty of company swag. thermo systems provides equal employment opportunities (eeo) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability, or genetics.salary range: $75,000.00 - $90,000.00/annually


#j-18808-ljbffr"
Technician - Electrical & Instrumentation,Oceana Gold,"Quirino, Metro Manila",N/A,"


company description

oceanagold is a growing intermediate gold and copper producer committed to safely and responsibly maximizing the generation of free cash flow from our operations and delivering strong returns for our shareholders.

we have a portfolio of four operating mines: the haile gold mine in the united states of america; didipio mine in the philippines; and the macraes and waihi operations in new zealand. our operations are supported by a global workforce with significant exploration, development and operating experience.

our purpose is mining gold for a better future. the gold, copper, and silver we produce are essential to the renewable energy and transport sectors, life-saving medical devices and technology which connects communities around the world. our activities also contribute to economic growth and improved health and education outcomes in the regions where we operate. we provide direct employment for over 3,700 people and indirect employment for many more.

our vision is to be a company people trust, want to work and partner with, supply and invest in, to create value. this vision is brought to life by our values – care, respect, integrity, performance and teamwork – which put our people, host communities, the environment and our stakeholders at the forefront of our decision-making.

check us out - www.oceanagold.com

job description

oceanagold are seeking a suitably qualified and motivated technician - electrical & instrumentation to support to attain the production goals by maintaining electrical equipment and system following site standards, work procedures and applicable electrical laws. the role will report to the supervisor-electrical maintenance.

key tasks and responsibilities:

the ability to install, maintain, and troubleshoot electrical systems and equipment in mining operations;
the ability to perform electrical works and repair, control the allocation of resources, time and costs to ensure the efficiency and adequacy of mine operations, avoiding waste of resources;
ability to identify potential risks and implementing strategies to mitigate them, such as developing contingency plans for challenges that may arise during project implementation;
the ability to perform preventive and corrective maintenance on wide variety of electrical equipment by applying the most cost-effective and best maintenance practice to improve availability and extend equipment lifespan;
the ability to perform instrumentation and control work, control the allocation of resources, time and cost to ensure the efficiency and adequacy of mine operations, avoiding waste of resources;

qualifications

educational background

graduate of any vocational trade studies major in electrical or industrial electrician

work experience and background

minimum 2 years of work experience as industrial electrician
previous work experience in metal & mining industry is an advantage
willing to be assigned in surface or underground

specialization/license

registered master electrician for l3 position
professional driver’s license
ncii in electrical or instrumentation

desired qualifications

can do basic electrical wiring and troubleshooting
can work on basic motor controls
had work experience on hv cables, transformers, electric motors, mccs, motor starters

knowledge

reading and interpreting engineering drawings like sld, schematic diagrams and other
electrical systems and components
maintenance procedures and safety standards

skills

analytical skill
know how to use basic electrical toolings
know how to use basic electrical test equipment
installation, maintenance, commissioning and troubleshooting of an electrical equipment
computer skills and use of microsoft applications

abilities

attention to details
adaptability
physical stamina
problem-solving abilities

additional information

highly attractive remuneration package inclusive of health and life insurance benefits
great opportunities for career advancement with an international mining company
friendly roster with great onsite foods, accommodation, and with transport from point of hire is provided for non-didipio residents
professional development skills training opportunities provided

ogc values: care | respect | integrity | performance | teamwork

oceanagold is committed to providing equal employment opportunities.

if you share the same values and have what we are looking for, please apply online now via our careers website:
https://careers.smartrecruiters.com/oceanagold

applications close 18 may 2025. shortlisting will commence immediately. applicants must be eligible to work in the philippines.

#j-18808-ljbffr"
Automation Engineer,"Cosine Industries, Inc.","Manila, Metro Manila",N/A,"requirements:

graduate of bs in electrical, mechatronics, mechanical engineering or electronics.

site situation for services and panels

ability to troubleshoot complex systems and design efficient automation processes.

strong analytical skills to understand and improve existing systems.

given the rapid technological advancements, an automation engineer should be committed to staying updated with new tools, technologies, and best practices.

duties and responsibilities

programming of plc-integrated equipment such as avr and ats.

provide on-call or on-site service to clients (troubleshooting and giving assessments).

provide reports/findings regarding the project/service done.

plan, design, program, implement, and manage automation projects based on client’s requirements.

design wiring diagram/circuit diagram based on requirements given.

provide after-sales technical support to clients.

assist in conducting seminars regarding plc programming.

design and fabricate pcb.

compiling designs, wiring diagrams, plc programs, and project files."
Instrument Technician,J&F Foods,"Caloocan, Calabarzon",N/A,"**job summary**

responsible for the proper and safe operation and maintenance production machines and utilities equipment as well upheld environmental compliance of the company.

**duties and responsibilities**
- engineering shift supervisor.
- responsible on the operation and maintenance of instrumentations of the building utilities and production machineries.
- eliminated malfunction in systems and components with recommended design modifications.
- executes instrumentation equipment due for calibration.
- execute planned total productive maintenance.
- troubleshoot and repair machines needed attention.
- recommend purchase materials and spare parts needed for repair and preventive maintenance.
- contributed ideas for improving work processes.
- execute building and machine improvement projects in-house and third-party service provider.
- participate and assist external and internal customer in delivering world class product and services using the management tools being implemented but not limited to 5s, kaizen, 5w, rca, pareto, pdca and likes.

**job types**: full-time, permanent

**benefits**:

- opportunities for promotion
- promotion to permanent employee

schedule:

- 8 hour shift
- rotational shift

supplemental pay types:

- 13th month salary
- overtime pay

ability to commute/relocate:

- caloocan city: reliably commute or planning to relocate before starting work (required)"
