Role of Job,Company Name,Company Location,Type of Work,Description
Quality Assurance Assistant Manager (Laguna),Jollibee Foods Corporation,"Calamba City, Calabarzon",Remote,"the assistant quality assurance manager is responsible for leading, directing, and managing the quality assurance operations to support the objectives of providing products that consistently meet standards and specifications for quality and safety.

leads the physico-chemical laboratory team and oversees all laboratory activities.

assists the quality assurance manager in designing, planning, and implementing overall quality assurance and food safety programs.

reviews, audits, and analyzes the implementation of quality assurance programs and procedures across different operating units and within the organization.

coordinates and collaborates with both internal and external regulatory entities, ensuring quality assurance and management systems as well as compliance with fda, nmis, bai, bfar, lgu, and other regulatory and legal requirements.

prepares and submits periodic status reports on operational activities and conducts audits on suppliers, toll processors, bakeries, and depots, addressing areas of concern and recommending actions, while promptly reporting and managing critical issues related to product quality and safety.

recommends improvements in test equipment, facility upgrades, and operational streamlining in coordination with other counterparts for quality improvement programs and process optimization.

participates in staff selection, training, and performance evaluation, as well as reviews and adjusts the section's staffing levels for operational efficiency, which includes designing efficient work schedules and job assignments, and assesses deserving employees for promotion or regularization in alignment with qad standards.

job qualifications:

a graduate of bachelor's degree in chemistry, microbiology, chemical engineering or related or allied courses or fields.

preferably a licensed chemist or chemical engineer.

with at least four (4) years work experience in food quality assurance, manufacturing, or related fields.

with at least two (2) years of supervisory and people management experience.

with experience in implementing quality management systems (qms) such as haccp, iso systems, and spc (statistical process control) in a food plant environment.

must be knowledgeable in food science and technology, including food engineering, chemistry, microbiology, and relevant analytical techniques.

must be knowledgeable in iso 17025, sap, method validation, and measurement of uncertainty.

familiarity with gmp, gwp, and glp (good manufacturing/warehousing/ laboratory practices).

must possess strong oral and written communication skills and leadership/collaborative skills.

must be innovative, organized, adaptable, and flexible in a fast-paced environment.

must be willing to work on shifting schedule in calamba, laguna.

zenith foods corporation, the hiring entity, is a wholly owned subsidiary of jollibee foods corporation."
Sr Package Development Engineer,onsemi,"Carmona, Calabarzon",Remote,"job summary: 

the package development engineer is responsible for developing, optimizing, and sustaining advanced packaging processes, specifically focusing on wafer saw and laser grooving process technologies. this role involves collaboration with cross-functional teams to ensure high-quality and efficient manufacturing processes for semiconductor devices.

onsemi (nasdaq: on) is driving disruptive innovations to help build a better future. with a focus on automotive and industrial end-markets, the company is accelerating change in megatrends such as vehicle electrification and safety, sustainable energy grids, industrial automation, and 5g and cloud infrastructure. with a highly differentiated and innovative product portfolio, onsemi creates intelligent power and sensing technologies that solve the world’s most complex challenges and leads the way in creating a safer, cleaner, and smarter world.

more details about our company benefits can be found here:

https://www.onsemi.com/careers/career-benefits

responsibilities:

lead r&d initiatives focused on die preparation processes like but not limited to laser groove / ablation, mechanical dicing, stealth dicing.
 collaborate with cross-functional teams to drive innovation and integrate new process technologies.
design and conduct experiments to develop and refine packaging processes.
 analyze experimental data to identify trends and optimize process parameters.
develop comprehensive process documentation and control plans.
address and resolve complex process-related challenges.
stay abreast of the latest advancements in semiconductor packaging and incorporate cutting-edge techniques.
mentor and provide technical leadership to junior engineers and team members.
 ensure all r&d activities comply with industry standards and company policies.
 

requirements:

education
bachelor's or master's degree in electrical engineering, materials science, mechanical engineering, or a related field.
experience
minimum of 5 years of experience in semiconductor package assembly process development.
experience in project management is a plus.
skills
in-depth knowledge of wafer singulation processes, semiconductor packaging technologies and materials.
proven track record in process development and efficient use of methodologies.
strong analytical and problem-solving skills.
excellent communication and collaboration abilities.
familiar with project management concepts and tools."
"Engineer, Electronics and Calibration",Allegro MicroSystems,"Parañaque, Metro Manila",Remote,"the allegro team is passionate about providing intelligent solutions that move the world toward a safer and more sustainable future. with more than 30 years of experience developing advanced semiconductor technology, innovation with purpose touches every aspect of our business. from customer engagement and employee recognition to technology advancement and serving the local communities in which we maintain offices, innovation consistently drives our mission and definition of success.

job responsibilities:provision of administrative and technical requirements for establishing, implementing and maintaining the following functions under e&c. : electronic repair, calibration process, fabricated machine parts incoming inspection, esd control, microscope preventive maintenanceperforms ongoing compliance verification or evaluation of internal controls, communications, risk assessments and maintenance of documentation as related to compliance with internal and external safety, quality, and regulatory standards.

identifies risk and evaluates deficiencies while working with internal or external linkages to appropriately remedy them. responsible for capability improvements of operational and technology through procedure and equipment enhancement, and for talent improvements through training and awareness. contributes in exceeding e&c overall key performance indicators (kpi’s), goals & objectives.

generate reports/presentation that represent e&c processes and compliancesupports in customer audits. gathers and provides documents and/or data as necessary. supervises technician and is responsible for the performance appraisal.

support company program and official event. performs other duties that may be assigned by the cq section head from time to time. perform measurement systems analysis (msa) study for applicable test and measuring equipment.

minimum qualifications:graduate of bs in the field of engineering (electronics or electrical), or technology ( specialty on any of the following field: electrical, electronics, or instrumentation) with at least 2 years’ experience in the same field. knowledgeable in microsoft office (advanced excel, word & powerpoint) and other computer application.


#j-18808-ljbffr"
Internal Auditor,"Global-Estate Resorts, Inc.","Manila, Metro Manila",Remote,"the internal auditor performs professional internal auditing work. his/her work involves conducting performance, financial and compliance audit projects, providing consulting services to the organization's management and staff, and providing input to the development of the annual audit plan. he/she maintains all organizational and professional ethical standards and works under limited supervision with moderate latitude for initiative and independent judgement.

other essential duties include, but are not limited to:

oversee the internal audit activity of the company and manage audit's relationship with process owner.

participate in management and execution of audit plans, and lead and direct the audit team.

actively participate in the planning, execution, reporting, and monitoring of assigned engagement.

conducts special engagements when needed.

minimum qualifications:

must have a bachelor's degree in accountancy, internal audit or any related course.

certified internal auditor / industrial engineer / certified internal control auditor is a plus. 

a year of full-time experience in audit, risk, compliance, finance, business process improvement, or project management as a team member.

considerable knowledge of the standards for the professional practice of internal auditing and the code of ethics developed by the institute of internal auditors."
Manufacturing Operations Engineer Manager,WHR Global Consulting,"Muntinlupa, Metro Manila",Remote,"this role will oversee the entire operations team, including customer service and warehouse, ensuring that team kpis are consistently met. it is responsible for managing day-to-day operations, ensuring that all tasks are completed to the expected level of quality. additionally, it involves handling escalations from the teams, providing guidance, and resolving issues in a timely and effective manner.

key rolesquotation: oversee csd compliance in handling quotes efficiently and within established timelines. purchasing: coordinate order fulfilment, address queries, and resolve requests or complaints. warehouse: oversee warehouse operations, ensuring compliance with inventory control, receiving, and shipping procedures.

align departmental goals and objectives with the company’s overall strategy. engage with customers to identify process improvements and collaborate on solutions to address procedural gaps. foster communication with the local team, sharing ideas and providing leadership, guidance, and mentorship to staff.

report regularly to management on progress against key business metrics. lead process improvement initiatives to enhance operational efficiency, cost control, and customer satisfaction. ensure compliance with iso standards, company policies, customs, and peza regulations, while maintaining audit readiness.

responsibilitiesensure adherence to processes, timely completion of tasks, and maintenance of service quality standards. resolve escalations and address special customer requests by implementing effective solutions. initiate and lead projects aimed at enhancing operational efficiency and effectiveness.

coach, mentor, and develop associates, empowering them to exceed expectations while creating opportunities for career growth and succession planning. other duties as assigned to support business needs. qualificationsmust be energetic, innovative, and a good communicator (english).

must have experience in customer service management and after sales management, and leading a small teammust have experience in business operations management such as hr, finance & accounting, supply management, people management, sales & marketing, customer service, vendor management, government regulatory compliance. must have experience working with a multicultural work environment composed of locals and foreign stakeholders. bachelor’s degree in business administration or equivalent combination of education with at least 5 years of relevant working experience.

strong people management skills with the ability to lead, motivate, and develop teams. in-depth knowledge of business processes and organizational functions. excellent communication and decision-making skills with the ability to engage effectively at all levels.

proficient in microsoft 365 (word, excel, powerpoint, outlook) and adept at learning new business systems and software platforms as needed.


#j-18808-ljbffr"
Process Improvement Specialist for Global Logistics,WHR Global Consulting,"Pasig, Metro Manila",Remote,"process improvement specialist for global logisticsjoin to apply for the process improvement specialist for global logistics role at whr global consultingprocess improvement specialist for global logistics3 months ago be among the first 25 applicants

join to apply for the process improvement specialist for global logistics role at whr global consultingprocess improvement specialist for global logisticslocation: pasigsetup: day shift, onsitejob descriptionthis position ensures efficient, effective and optimal use of processes, applications, and communication to ensure service excellence within the company. the role will work closely with the functional teams and will focus on process improvement activity, in particular for implementation of new processes as well as analyzing current processes to identify and implement efficiency and service delivery opportunities including global profile administration and user access control. qualificationsholder of bachelor’s degree in logistics, english, business mgmt.

or related discipline3-5 years’ experience in international logistics environment. experience in process improvement and/or other field relevant to logistics is an advantage. broad and solid understanding of logistics operational activities supporting customer solutions and transactional business, and corresponding it applications

good command of ms office applications.well-developed communication skills, excellent command of english language and language relevant to office of domicile, both orally and in writing.passion for service excellence, innovative mindsets.effective organizational & planning skills.ability to quickly assimilate how new or existing applications or functionality may be applied to improve or extend customer services.an analytical, methodical and logical approach to problem solving

strong interpersonal skills within a multi-cultural environment.ability to prioritize and deliver.strong attention to detail.solution focused on a global perspective

project and change management skills

be good at documentation process and creative thinking

seniority level

seniority level

mid-senior level

employment type

employment type

full-time

job function

job function

management and manufacturingindustriesbusiness consulting and servicesreferrals increase your chances of interviewing at whr global consulting by 2xsign in to set job alerts for “process improvement specialist” roles.pasay, national capital region, philippines 5 days ago

manila, national capital region, philippines 6 days ago

pasig, national capital region, philippines 2 days ago

process improvement specialist - operations, seabankmanila, national capital region, philippines 21 hours ago

manila, national capital region, philippines 2 weeks ago

order management process improvement specialistpasig, national capital region, philippines 3 days ago

process improvement specialist - operations, seabankmanila, national capital region, philippines 21 hours ago

taguig, national capital region, philippines 3 days ago

service quality & process improvement specialist in gbspasig, national capital region, philippines 3 weeks ago

muntinlupa city, national capital region, philippines 2 months ago

consultant, continuous process improvementtaguig, national capital region, philippines 1 week ago

systems and process improvement specialist/officermakati, national capital region, philippines 1 day ago

quezon city, national capital region, philippines 1 day ago

pasig, national capital region, philippines 3 days ago

taguig, national capital region, philippines 1 day ago

pasay, national capital region, philippines 1 week ago

process engineer (water treatment) quezon city 4 vacancies

quezon city, national capital region, philippines 3 months ago

process engineer water treatment quezon city 4 vacancies

quezon city, national capital region, philippines 3 months ago

quezon city, national capital region, philippines 2 weeks ago

national capital region, philippines 2 weeks ago

process engineer water treatment plant experience

quezon city, national capital region, philippines 1 month ago

we’re unlocking community knowledge in a new way. experts add insights directly into each article, started with the help of ai.


#j-18808-ljbffr"
Senior Product Engineer,Amertron,Angeles,Remote,"primary function:

          to ensure all products being tested are in compliance with the required test specifications provided by the customer.  to provide prompt failure analysis on test rejects, assess the risk, provide effective containment and lay down both corrective and preventive measures.  to spearhead group of product engineers, officers and technicians driving for quality, yield, productivity, efficiency and cost improvements to achieve more profitable department.

duties and responsibilities: 

1.       directly reports to executive product engineer or test engineering manager.

2.       drive for quality, final yield, first pass yield, productivity, cost and overall equipment effectiveness (oee) improvements including the reduction of low yield trigger (lyt) lot using 7 steps of problem solving or 7 quality control tools.

3.       perform qualification and evaluation of new device, test program, board, fixture, tester or test handler.

4.       carry out document review of failure mode effect analysis (fmea), control plan (cp), process & product and test limit versus -05 document verification.  to ensure fundamental activities defined are effective and drive for total customer quality satisfaction.

5.       generate process flow and step by step operating procedure for operators and technicians to follow and execute test operations efficiently.

6.       establish cook book to guide product technicians on the most effective test reject failure analysis steps responding to lyt or abnormal lot.

7.       establish 5s procedure to ensure the sustainability thru systematized methodology.

8.       support on establishing out of control action plan (ocap) to guide both production and engineering team members on how to approach certain abnormalities encountered in test station.

9.       perform prompt failure analysis (fa) steps on test rejects of all low yield trigger (lyt) lots and provide detailed failure phenomenon to define the most effective containment/treatment action in order to ensure good units are really good without reliability issue.

10.   document the detailed failure analysis, corrective and preventive actions in manufacturing execution system (mes) to follow thru the effectiveness and monitor the succeeding lots.

job specification and qualification

educational attainment : engineering course (ece/ee/coe/me) or equivalent training/work experience :

• knowledge on presentation and spreadsheet will be an added advantage

• labview, c++, visual basic and python will be added advantage

• with minimum of 1 year work experience as product or process engineer in a semiconductor or optoelectronics industry"
Performance Engineer (Laravel/PHP),Shiperp,"Mandaluyong, Metro Manila",N/A,"shiperp, a leading multi-carrier shipping software provider, is dedicated to fostering digital supply chain transformation for companies, from privately held businesses to large, global enterprises. shiperp's flagship product delivers multi-carrier rate shopping, tracking, and proof of delivery for streamlined business processes and a strong return on investment. with extensive supply chain expertise, shiperp has helped clients streamline their business processes and eliminate inefficiencies. our best-in-class services team are implementation experts with 15+ years of experience in logistics execution and transportation, with an emphasis in parcel shipping technology.

position: process engineer (laravel/php)

industry: software development company

location: mandaluyong city 

schedule: shifting (morning/night)

job summary:

performance engineer focuses on optimizing application performance, identifying bottlenecks, and ensuring smooth, scalable, and efficient system operation across our web platforms. your strong expertise in web development, particularly using laravel will be essential in understanding the application's architecture and improving its speed, scalability, and overall user experience.

key responsibilities:

performance monitoring & analysis:

monitor and analyze application performance using tools like new relic, blackfire, laravel telescope, gatling, jmeter or similar.

establish performance benchmarks and proactively identify slow-loading pages, inefficient queries, or memory issues.

optimization:

refactor laravel code, database queries (eloquent/query builder), and configurations to improve response time and reduce resource usage.

implement effective caching strategies (redis, memcached, laravel cache drivers) to boost performance.

optimize front-end performance by coordinating with ui/ux teams (e.g., lazy loading, asset bundling/minification, cdn integration).

scalability & load handling:

simulate traffic and conduct stress/load testing using tools like apache jmeter, locust, or laravel dusk.

design and implement horizontal and vertical scaling strategies in cloud environments (e.g., aws, digitalocean, or others).

collaborate with devops to ensure deployment pipelines and infrastructure are optimized for high availability and performance.

database tuning:

analyze and optimize sql queries, indexes, and database structure for maximum efficiency.

work closely with database administrators to ensure best practices in schema design and query performance.

collaboration & documentation:

provide feedback and recommendations to development teams on improving code efficiency and performance.

create documentation of performance standards, tuning strategies, and recommendations.

participate in code reviews to ensure performance best practices are followed.

qualifications:

proven experience in laravel/php development (5+ years).

strong understanding of web performance optimization techniques.

experience with laravel performance tools (telescope, debugbar, laravel octane, horizon).

good knowledge of database tuning (mysql/mariadb/postgresql).

proficiency with version control (git), rest apis, and front-end performance considerations.

knowledgeable in using gatling and jmeter

nice-to-have:

experience with laravel octane or swoole/roadrunner for high-performance laravel apps.

familiarity with containerization (docker) and ci/cd pipelines.

exposure to serverless architecture or queue workers.

knowledge in front-end frameworks (jquery, vue.js, react) for full-stack optimization.

recruitment process (virtual):

hr screening

technical interview

final interview

job offer"
Security Platform Expert,Globe Telecom,"Taguig, Metro Manila",N/A,"at globe, our goal is to create a wonderful world for our people, business, and nation. by uniting people of passion who believe they can make a difference, we are confident that we can achieve this goal. job description

the role of security engineer in this position blends devsecops, platform engineering, and site reliability engineering (sre) principles, requiring a highly skilled professional with a diverse set of technical abilities. the ideal candidate will possess mastery in infrastructure automation using terraform and aws security services, while also being adept at implementing automated compliance in ci/cd pipelines and developing centralized infrastructure modules with embedded security policies. this multifaceted role focuses on building and maintaining secure, scalable infrastructure platforms, enhancing developer efficiency through automated tooling and processes, and ensuring maximum application reliability and system performance.

the successful applicant will demonstrate key strengths in identifying and addressing security vulnerabilities in both architecture and code, designing reliable systems with robust security controls, and skillfully balancing developer enablement with stringent security requirements. ultimately, this position demands a professional who can effectively bridge the gap between development, operations, and security while upholding high standards of system reliability. key responsibilities: security & compliance implement and manage cloud security controls across aws/gcp environments develop and maintain security policies within ci/cd pipelines ensure compliance with relevant frameworks (pci dss, iso 27001, gdpr) platform engineering build and maintain scalable infrastructure and developer tools create self-service platforms to improve developer efficiency develop centralized terraform modules with embedded security policies automate software distribution and deployment processes reliability engineering implement slo management and monitoring solutions establish automated incident response procedures ensure system reliability and performance optimization cross-functional leadership collaborate with development and operations teams lead security architecture reviews and threat modeling mentor teams on security best practices and platform usage required qualifications: technical skills expert knowledge in infrastructure as code (terraform) proficiency in cloud platforms (aws/gcp) security services experience with slo management strong background in ci/cd pipeline development expertise in containerization and orchestration core competencies deep understanding of security principles and best practices experience with automated compliance and security testing strong problem-solving and analytical skills excellent communication abilities across technical and business stakeholders certifications & experience aws security specialty certification preferred relevant platform or reliability engineering certifications 5+ years of experience in security, platform, or sre roles additional skills programming proficiency in python or similar languages experience with monitoring and observability tools knowledge of modern software development practices understanding of compliance frameworks and controls equal opportunity employer globe’s hiring process promotes equal opportunity to applicants, any form of discrimination is not tolerated throughout the entire employee lifecycle, including the hiring process such as in posting vacancies, selecting, and interviewing applicants.

globe’s diversity, equity and inclusion policy commitment can be accessed here make your passion

part of your profession. attracting the best and brightest talents is pivotal to our success.

if you are ready to share our purpose of creating a globe of good, explore opportunities with us. globe telecom, inc. (globe) is the leading telecommunications company in the philippines and the purveyor of the filipino digital lifestyle.

we provide cellular, broadband and mobile data services by focusing on enriching our content offerings amid customers' growing preference for multimedia platforms across multiple screens and devices. we want to enrich lives through communications by simplifying technology, so that we bring customers closer to what matters most. globe was also recognized as one of the top companies to work for in asia by asia corporate excellence & sustainability (aces) awards and

best employer in the telco category by stevie’s new york. our principal shareholders are ayala corp. and singtel, both industry leaders in their respective countries and in the region.

we are also a member of bridge alliance, asia pacific's leading mobile alliance of 36 mobile carriers. purpose in everything we do, we treat people right to create a globe of

good. vision we see a philippines where families' dreams come true, businesses flourish, and the nation is admired.

mission we create wonderful experiences for people to have choices, overcome challenges, and discover new ways to enjoy life."
Product Quality Engineer,Scrgww,"Dumaguete, Negros",N/A,"product quality engineer in laguna, calabarzon, philippines


as a product quality engineer, you evaluate the product designs and create the quality processes, tools and procedures to help continuously improve the customer experience by improving product quality at our manufacturing site.

about the role

enable individuals to set the proper quality priorities and put risk mitigation plans in place. drive doe and collect spc data to enable evaluation, qualification, and verification cost-effectively in manufacturing quality across functional teams. implement production quality metric integration, deep-dive both design/process controls and audits at offshore cm. implement product quality plans through the product development cycle and ensure effective execution in the sustaining cycle. participate in the design for quality review process with engineering and manufacturing partners. communicate specific cosmetic requirements at product and key component level with manufacturing partners to implement in quality-controlled processes. aligns fatp iqc and supplier oqc plans and measurement techniques, sustaining management with manufacturing partners.

responsibilities

enable individuals to set the proper quality priorities and put risk mitigation plans in place. drive doe and collect spc data to enable evaluation, qualification, and verification cost-effectively in manufacturing quality across functional teams. implement production quality metric integration, deep-dive both design/process controls and audits at offshore cm.
implement product quality plans through the product development cycle and ensure effective execution in the sustaining cycle. participate in the design for quality review process with engineering and manufacturing partners.
communicate specific cosmetic requirements at product and key component level with manufacturing partners to implement in quality-controlled processes.
aligns fatp iqc and supplier oqc plans and measurement techniques, sustaining management with manufacturing partners.

qualifications

bachelor’s degree in electrical/industrial/manufacturing/mechanical engineering or equivalent practical experience. experience in audio, camera, and display consumer electronics industries and the technical details of quality issues/risks. ability to speak and write in english fluently and idiomatically.

required skills

experience in audio, camera, and display consumer electronics industries and the technical details of quality issues/risks.
ability to speak and write in english fluently and idiomatically.

preferred skills

5+ years of experience in product quality process development and best practices with mobile or consumer electronics manufacturing.
experience implementing quality escalation processes and on-going product improvements with cm partners.
experience supporting cross-functional problem-solving teams by using practical approaches (e.g., quality metrics, design of experiments, statistical process control/six sigma).
ability to effectively communicate with the project teams.
#j-18808-ljbffr"
Site Reliability Engineer,Michael Page,"Makati City, Metro Manila",N/A,"seeking of a stimulating workplace that fosters innovation and productivity

global training opportunities

about our clientthe client is a leading global energy corporation at the forefront of technological innovation, committed to delivering cleaner and more affordable energy solutions. they have a strong presence in the philippines where they are recognized for their exceptional workplace culture, diversity initiatives, and numerous employer awards.job descriptionlead cybersecurity risk assessments and compliance monitoring activities

maintain and update business continuity and disaster recovery documentation

coordinate internal and external security audits

monitor and report on it risk mitigation efforts

oversee security compliance for process control network (pcn)/operational technology (ot)provide cybersecurity awareness training and guidance

serve as a process advisor for operations technology incident responsesupport integration of it standards into pcn environment

the successful applicantbachelor's degree in computer science, cybersecurity, or information technologyminimum 5 years of it experience

strong knowledge of industry standards (nist 800-53, iso 27001, cobit, itil)experience with it and ot systems architecture

excellent communication and stakeholder management skills

professional certifications (cissp, cism, cisa, or crisc) are advantageous

self-starter with proven ability to influence and work across diverse teams

what's on offercompetitive base salary and annual performance bonus

comprehensive healthcare coverage for employee and dependents

flexible hybrid work arrangement

robust wellness programs and work-life balance initiatives

extensive career development opportunities

professional training and mentoring programs

recognition and rewards program


#j-18808-ljbffr"
Manufacturing Engineer I,Ultra Clean Technology,"Cebu City, Central Visayas",N/A,"essential duties and responsibilities:

conduct welding (lod & uhp) technical supervision and guidance on the manufacturing floor.
liaise and coordinate with the manufacturing department on wps/pqr creation.
ensure appropriate welding programs are implemented on the manufacturing floor.
evaluate manufacturing processes and develop process control plans, pfmea, and risk assessments.
ensure compliance with por and ce standards.
collaborate with manufacturing, engineering, and quality departments to drive continuous improvement in quality, efficiency, and manufacturing cycle time.
initiate and support manufacturing process improvements and standardization.
provide technical support for troubleshooting issues related to quality, first pass yield, and process deviations.
participate in product transfer activities, including team training, understanding equipment and facility requirements, and build/test procedures.
coordinate with engineering and material departments on specifications, bom, and material issues.
coordinate with quality department on supplier and customer quality issues, including rcca and 8d reports.
collaborate with test engineering on testing development and issues.
engage with customers regarding bom, drawings, and design issues by generating problem reports, supplier problem sheets, and deviation requests with summaries.
participate in mrb meetings, make justifiable dispositions, analyze data, and work with relevant departments and suppliers to reduce non-conformance.
possess basic cad knowledge to analyze 3d drawings from customers.

educational/certification requirements:

bachelor’s degree in welding, material, mechanical, mechatronics, or industrial systems engineering.
diploma in welding, material, mechanical, mechatronics, or industrial systems engineering with at least 5 years of relevant experience.

experience requirements:

minimum 2 years of relevant experience; 5-10 years for senior positions.
familiarity with welding processes for industrial products and welding inspection processes.
experience in the semiconductor industry is preferred.
good communication skills in english, able to interpret english drawings.
self-motivated, resourceful, and possess a positive ""can-do"" attitude.
ability to develop positive working relationships within teams and across functions.
demonstrates good workmanship according to industrial standards.
excellent interpersonal, communication, and presentation skills.
willing to perform additional tasks as assigned by management.
adheres to work ethics and integrity.
knowledge of six sigma is a plus.

#j-18808-ljbffr"
"Senior Manager, SAP Basis Security Governance",Procter & Gamble,"Manila, Metro Manila",N/A,"senior manager, sap basis security governance page is loaded

senior manager, sap basis security governance
apply locations manila net park office time type full time posted on posted 3 days ago job requisition id r000128020

job location

manila net park office

job description

we are seeking a highly skilled and experienced professional to assume the role of senior manager, sap basis security governance. in this strategic position, you will support our sap systems' ""second line of defense"" activities, ensuring compliance, risk management, vulnerability management, and control effectiveness across the entire sap ecosystem, including the platform, database, and operating system. you will be responsible for establishing p&g’s sap security risk and compliance management framework, including controls monitoring and automation. your expertise will be crucial in maintaining the integrity of our sap landscape and supporting the organization's overall risk management framework. the sap security governance team oversees, assesses, and manages risk and compliance activities, develops and deploys the risk and compliance management framework, and serves as an expert in the sap risk and compliance domain.

in your role, you will govern key access management, technology controls, hardening, business continuity, resilience, and cybersecurity efforts in collaboration with the director of sap security second line of defense. you will play a critical role in ensuring the integrity, confidentiality, and availability of our sap systems by governing the design and implementation of robust security measures, managing sap vulnerabilities, and ensuring compliance with relevant regulations and standards. additionally, you will help develop vulnerability remediation and risk management processes, help establish sap security baseline and oversee its implementation. this role requires strategic partnerships with first line of defense teams, internal stakeholders, and external partners to design, adopt, and integrate effective controls while promoting control automation. the ideal candidate will possess in-depth working knowledge of basis architecture, industry trends, standards, and proficiency with the latest cybersecurity tools and processes, contributing to a secure and efficient sap environment that supports our business processes and objectives.

job responsibilities

provide technical governance and is responsible for reviewing and further evolving best practices, polices, standards, framework, guidelines and approach
contributes to it project governance reviews and provides the necessary application governance in support of our standards
support the sap security strategy and governance framework on an operational level, acting as both a controls framework specialist and control monitoring / automation tool specialist, supporting security related tasks across lines of defense
support the development, deployment, and continuous improvement of sap risk management strategies and frameworks.
enforce compliance with relevant industry standards, regulations, and internal it policies related to sap systems.
work closely with internal audit teams to ensure sap-related audits are conducted effectively and timely, addressing any findings or deficiencies.
design and implement robust control frameworks for sap processes, collaborating with process owners and it teams to ensure controls are practical and effective.
deliver and maintain incident response plans for sap systems, ensuring the organization is prepared to address potential security breaches or operational disruptions.
establish proper governance to control and proactively spot problems, vulnerabilities, and changes in the underlying systems’ risk profile.
help application, product, and information owners understand the overall risk profile so that the proper controls may be introduced.
proactively identify, assess, and manage inherent risks in our system and promote a risk-mitigating culture.
identify threats, risks, vulnerabilities, and relevant mitigation methods to support risk decisions and carry out security risk assessment operations.
stay up to date with sap security trends, patches, and vulnerabilities to ensure the protection of sap environments.
recommend improvements to security policies, role configurations, and user access processes.
foster strong working relationships with various customers, including it, finance, legal, compliance, and external auditors, to align sap second line of defense activities with broader organizational objectives.
support director of sap security governance: risk and compliance management and be a part of a high-performing team responsible for sap risk management, controls, and compliance activities.
support director of sap security governance: risk and compliance management communicate risks and outages up to management and across lines of defense for remediation.

job qualifications

required

bachelor’s degree in business, information systems, or a related field
extensive experience (5+ years) in audit, risk management, internal controls, compliance, or a related field, focusing on sap systems.
extensive and broad-based experience and expertise with all stacks of sap infrastructure and application stack with demonstrated understanding of sap security, risk, and compliance control within a large and diverse enterprise environment or business community.
knowledge of sap automation tools such as; sap focus run, sap solution manager, security weaver, security bridge.
solid understanding of sap processes, modules, and configurations, including ecc, s/4hana, btp, sap platform basis, hana db, integration, os, and related technologies.
proficient in sap security administration, encompassing os and hana database environments, including knowledge of authorization concepts, deployment, and implentation of security controls, conducting audits and vulnerability assessments, alignment to standard methodologies, user management, fix, collaboration with multi-functional teams, and risk mitigation.

preferred

master's degree preferred in business, information systems, or a related field.
ideally, knowledge of the p&g information security framework and the sap enterprise security control framework
demonstrable record of accomplishment of leading and managing multi-functional teams, fostering collaboration, and achieving results.
identifying key risks and controls, knowledge of sarbanes oxley readiness controls optimization, and configuring controls around security, business process, and within the grc modules.
knowledge of it sap security tools such as code scanners, grc tools, or tools for sap sod monitoring.
relevant certifications such as certified information systems auditor (cisa), certified information systems security professional (cissp), sap hanatec or equivalent are a plus. experience in working with regulatory requirements and industry standards (e.g., sox, gdpr) about sap systems.
knowledge of the nist cybersecurity framework.
traditional/waterfall and agile project management skills, strong analytical and problem-solving abilities, with keen attention to detail
leading teams to generate a vision, establish direction and motivate members, create an atmosphere of trust, leverage diverse views, coach staff, and encourage improvement and innovation.

about us

we produce globally recognized brands and we grow the best business leaders in the industry. with a portfolio of trusted brands as diverse as ours, it is paramount our leaders are able to lead with courage the vast array of brands, categories and functions. we serve consumers around the world with one of the strongest portfolios of trusted, quality, leadership brands, including always, ariel, gillette, head & shoulders, herbal essences, oral-b, pampers, pantene, tampax and more. our community includes operations in approximately 70 countries worldwide.

visit http://www.pg.com to know more.

we are an equal opportunity employer and value diversity at our company. we do not discriminate against individuals on the basis of race, color, gender, age, national origin, religion, sexual orientation, gender identity or expression, marital status, citizenship, disability, hiv/aids status, or any other legally protected factor.

job schedule

full time

job number

r000128020

job segmentation

experienced professionals (job segmentation)similar jobs (1)
senior sap abap software engineer
locations manila net park office time type full time posted on posted 23 days ago

p&g was founded over 180 years ago as a simple soap and candle company. today, we’re the world’s largest consumer goods company and home to iconic, trusted brands that make life a little bit easier in small but meaningful ways. we’ve spanned three centuries thanks to three simple ideas: leadership, innovation and citizenship.

the insight, innovation and passion of talented teams has helped us grow into a global company that is governed responsibly and ethically, that is open and transparent, and that supports good causes and protects the environment. this is a place where you can be proud to work and do something that matters.

#j-18808-ljbffr"
